일자,충전방식,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
2024-01-01,급속,3720,3840,3520,2960,3120,3400,4920,6400,10480,14920,17440,19320,19640,19880,21800,20600,21600,19400,15360,13080,10360,8400,7120,4600
2024-01-01,완속,987,1071,413,245,196,105,203,210,707,882,1064,1197,1323,1253,1561,1736,2163,2415,2408,2114,2065,1729,1533,1477
2024-01-02,급속,2880,2320,1560,1720,2520,4160,6520,9960,14440,17400,20720,23760,25000,24800,25320,25160,23600,23160,19880,16560,13880,10120,8360,5760
2024-01-02,완속,469,455,308,119,91,140,182,490,833,910,959,1015,1078,1183,1232,1750,2415,3122,3171,3010,2240,2065,1869,1813
2024-01-03,급속,3800,3160,2720,2000,2760,4040,7000,9200,14960,16000,18640,22880,24840,25840,22480,26200,27920,24040,20240,18000,15200,11760,9040,6160
2024-01-03,완속,630,413,168,182,119,133,245,364,686,630,742,1099,882,952,1400,1897,2394,3066,3465,3227,2107,2289,2191,2170
2024-01-04,급속,4480,3200,2400,1760,3720,4600,7720,11320,16600,19600,21000,25200,26760,26720,26680,28080,27960,25320,22600,18680,14400,14080,9800,6680
2024-01-04,완속,637,637,420,322,91,140,259,420,721,770,875,1050,959,1120,1540,1918,2436,3269,3542,3115,2366,2212,2184,1904
2024-01-05,급속,4160,3680,2520,2080,2400,5000,7640,11400,16600,20480,22080,24520,28120,25160,26480,26320,26160,24200,20720,18240,15040,10880,9000,5920
2024-01-05,완속,777,511,308,196,140,154,231,441,812,798,1029,1050,1099,1134,1540,1834,2072,3059,3437,2877,2366,2359,2331,2275
2024-01-06,급속,4320,3040,2840,3120,3720,4200,6280,9640,14480,17640,20280,19480,22400,22720,22480,23400,20400,19080,17240,13960,12080,10520,7760,5080
2024-01-06,완속,875,833,357,210,154,217,224,462,693,931,1162,1141,1407,1351,1659,1729,1799,2275,2261,2436,2275,2135,2093,1834
2024-01-07,급속,3880,2840,2160,2080,2240,2520,4840,6560,10840,14400,16160,17240,18720,22560,21280,22240,21560,20400,17880,14840,13120,10160,7480,5240
2024-01-07,완속,686,672,378,217,161,133,203,294,532,805,1218,1127,1267,1533,1729,2023,2226,2527,2891,2485,1953,1841,1603,1029
2024-01-08,급속,4360,2880,2080,2200,2480,4560,6880,10440,16120,22080,23840,27560,31160,27840,28720,29920,27280,27600,22600,20200,16040,12040,10160,6960
2024-01-08,완속,567,546,245,77,105,70,189,392,812,896,1078,1309,1253,1155,1400,2009,2513,3262,3710,3059,2513,2044,2135,2086
2024-01-09,급속,5040,3920,2160,2680,3360,5000,8440,11840,16920,20080,23240,26560,27960,27720,27160,27640,28240,26040,21160,19440,15320,11640,9560,7200
2024-01-09,완속,742,721,336,161,98,56,308,427,770,1078,1155,1099,1169,1344,1659,2009,2317,3059,3969,2758,2261,2205,2149,2100
2024-01-10,급속,3920,2520,1920,2240,2880,3920,7840,11600,18000,20520,24240,29280,28640,28600,29920,30200,30920,28200,25720,24000,18280,13880,10040,6640
2024-01-10,완속,581,560,329,161,168,140,231,364,679,798,1099,1141,931,1078,1750,2037,2786,3171,3654,3416,2282,2303,2100,2044
2024-01-11,급속,4360,3880,3200,2560,3840,4720,8480,12000,18720,19520,23120,28840,28840,28960,31000,30520,28560,27240,23400,19960,15840,11280,9840,6640
2024-01-11,완속,609,497,301,196,133,112,252,427,868,861,1190,1162,1120,1092,1400,1771,2611,2961,3612,3143,2345,2170,2471,2429
2024-01-12,급속,4400,3360,2480,2400,4000,4760,7720,12880,16680,21920,22680,28280,29960,29160,26240,28800,27760,25200,21200,18800,16680,14040,9480,7120
2024-01-12,완속,651,630,329,147,91,161,266,427,721,1148,1197,1155,1085,1120,1568,1855,2254,2968,3577,2828,2562,2198,2177,1463
2024-01-13,급속,4240,4160,3600,2960,3560,4440,6920,10200,16520,18400,23600,23000,23000,24720,25360,22840,21880,21160,16080,15080,12080,11440,8360,5320
2024-01-13,완속,868,546,406,308,259,147,252,357,630,1106,1071,1057,1407,1435,1435,1610,1841,2142,2478,2184,2345,2268,1904,1897
2024-01-14,급속,2920,3480,2560,2040,2080,3080,4840,7880,12960,15560,18560,22160,22280,20800,20720,20760,21040,18720,14720,13440,12640,9680,6760,5000
2024-01-14,완속,721,476,343,203,210,182,210,308,644,973,987,1176,1218,1498,1540,1806,2121,2478,2562,2219,2177,1890,1568,1547
2024-01-15,급속,3440,2200,1680,2000,2360,3800,7240,10240,16600,20480,24680,25520,31160,26560,27200,27240,27560,26720,22800,18640,15040,12600,9080,6080
2024-01-15,완속,434,406,196,112,98,98,273,420,742,756,840,1183,1127,1274,1379,1925,2415,2891,3689,3017,2583,1939,1855,1827
2024-01-16,급속,4440,3520,2880,2120,3080,3960,8400,12280,18400,21440,24080,27480,29520,27600,26720,28320,28200,28160,23080,19280,16360,11320,8800,5920
2024-01-16,완속,574,462,315,308,105,126,175,385,777,826,1001,1148,1085,1071,1393,1918,2436,2625,3605,3122,2520,2485,2310,2254
2024-01-17,급속,4480,3360,2720,2400,2560,4960,8240,11680,17120,21320,22480,24600,28880,26440,27560,27280,24240,25200,20880,19320,14080,10800,8960,6200
2024-01-17,완속,721,714,413,161,105,112,245,294,602,1057,1141,1029,1302,1365,1309,1666,2401,2870,3367,2982,2877,2009,2023,1946
2024-01-18,급속,4000,3080,2480,2920,2600,3920,7880,11240,15360,18840,22600,25200,27760,24880,25440,26480,27240,23760,22680,16920,13680,11760,7960,5480
2024-01-18,완속,623,462,329,126,133,133,189,350,693,903,952,938,987,1078,1393,1750,2240,2695,3472,3381,2506,2142,2156,2128
2024-01-19,급속,3880,3200,2440,2360,2520,4040,7440,9640,15880,19560,23120,25600,28880,27720,27840,26840,26480,26280,20280,18640,15080,11760,8920,6360
2024-01-19,완속,791,763,364,126,112,133,224,385,581,812,1148,1148,1260,1246,1526,1806,2261,2863,3283,3066,2394,2303,2296,2254
2024-01-20,급속,4400,3760,2680,3160,3160,3720,6600,8800,14080,16600,19720,19280,21600,21440,21440,21320,20960,18080,14000,12480,10640,9120,6680,4480
2024-01-20,완속,882,595,588,210,210,196,252,378,700,924,1078,1078,1162,1470,1407,1862,1673,2289,2177,2443,2114,1848,1540,1519
2024-01-21,급속,3560,2480,1920,2120,1760,2360,5640,7600,12400,16200,19400,20960,21080,22440,21920,21680,20840,20280,16920,14760,11120,8440,6760,4720
2024-01-21,완속,728,532,525,224,161,238,168,273,581,1036,973,1190,1379,1330,1589,1792,2100,2534,2625,2310,2163,1841,1421,1400
2024-01-22,급속,3480,2480,2280,1800,2480,4320,7320,10840,16080,21240,22440,27280,31000,28880,30520,30200,32560,30480,27000,19880,16920,13720,10200,7400
2024-01-22,완속,574,322,252,126,105,112,217,399,728,1106,966,1043,1169,1190,1743,2044,2590,3164,3759,3675,2646,2261,2023,1960
2024-01-23,급속,4720,3680,3000,2280,3400,4000,7880,11160,17160,22320,25920,29560,32200,30120,30560,34880,33280,30080,25240,23160,18760,15120,12040,8320
2024-01-23,완속,602,602,210,210,77,140,231,497,735,1071,1295,1092,896,1274,1666,2023,2737,3472,4179,3402,2758,2282,2065,2002
2024-01-24,급속,5240,4440,3200,2840,3160,4480,7520,13120,17920,24240,26880,30200,33320,31080,32160,33560,32400,29320,26760,21800,17960,14720,11400,8040
2024-01-24,완속,728,364,357,126,140,98,161,441,763,910,1169,1260,1281,1064,1680,2086,2667,3346,3689,3157,2688,2240,2170,2114
2024-01-25,급속,5280,3720,3240,2560,3440,4160,7320,13160,20200,24520,28440,30960,31920,31880,31560,32720,32800,28200,26240,22480,17920,13880,10840,8200
2024-01-25,완속,672,455,287,140,91,70,238,532,805,952,1162,1106,1085,1148,1645,1918,2464,3234,3955,3234,2541,2303,2009,2002
2024-01-26,급속,5000,3840,2960,2560,3240,4800,9080,14440,20080,23560,25720,29880,30960,29680,29000,30720,29240,28760,24120,21600,16480,13200,11560,7600
2024-01-26,완속,644,406,399,154,133,119,231,455,714,1015,903,1106,1085,1120,1113,1596,2009,2912,3465,3108,2611,2352,2317,2303
2024-01-27,급속,5040,3960,3840,3600,4160,4840,6920,11880,15680,19000,22400,24440,25760,24760,26640,26040,23600,19240,19640,15920,13840,11120,7840,5280
2024-01-27,완속,784,777,378,322,161,154,273,532,602,994,1057,1099,1519,1302,1477,1694,1785,2156,2401,2604,2226,2163,1659,1645
2024-01-28,급속,4280,3000,2320,2400,2560,3600,5320,8200,11760,14880,20920,20640,23400,22600,24800,24400,23080,22280,18120,14680,13480,10880,7360,5040
2024-01-28,완속,882,868,483,280,133,224,196,322,455,854,1001,1225,1400,1337,1799,2149,2240,2331,2513,2142,2205,2065,2016,1449
2024-01-29,급속,3960,2680,1800,1640,2320,4920,7360,11480,16760,21920,24320,28960,31200,27640,27960,27800,28240,27400,24200,20720,17360,11960,10320,6840
2024-01-29,완속,651,644,252,98,98,91,175,357,721,791,931,1036,1015,952,1148,1666,2345,3094,3759,3227,2296,2247,2016,1981
2024-01-30,급속,4600,3360,2640,2200,3440,5400,7800,12440,18080,20600,23680,27000,29600,27000,26040,26240,27040,24120,23920,20200,15800,11880,8680,6120
2024-01-30,완속,812,798,217,133,77,119,161,392,707,966,1043,1036,1015,1176,1295,1848,2429,2744,3353,2660,2422,2072,2093,2065
2024-01-31,급속,4720,3280,1880,1960,2520,4720,7720,10720,16400,19320,21440,24280,27160,24120,22360,21920,17320,23040,22360,17720,14240,10040,8080,5680
2024-01-31,완속,966,966,441,112,168,140,175,420,595,735,812,959,882,875,1155,1484,1911,2772,3563,2898,2219,2373,1904,1855
2024-02-01,급속,3440,2960,2720,2240,2600,4080,7320,9880,16440,19040,21520,24320,27480,24000,26760,26000,27120,25040,21680,19000,14600,11560,8160,6120
2024-02-01,완속,700,427,322,168,154,168,259,427,812,854,917,973,910,910,1267,1939,2324,2933,3262,2856,2457,2170,2044,2016
2024-02-02,급속,5040,3400,1720,2360,2440,5000,7520,11080,17280,22200,21800,26360,28960,27400,25640,28400,27200,24680,21080,19480,16440,12800,8840,7080
2024-02-02,완속,791,728,455,217,126,140,168,462,728,973,1092,1113,1127,1134,1365,1813,2002,2793,3213,2961,2429,2247,2247,1526
2024-02-03,급속,4480,3680,3400,2440,3400,3800,7080,9320,13320,17080,21440,21000,21400,23040,22800,22240,18920,18080,16720,12720,11000,9480,6280,4280
2024-02-03,완속,889,574,301,294,224,112,224,350,560,735,973,1029,1246,1183,1351,1813,1617,2317,2408,1988,1813,2037,1736,1708
2024-02-04,급속,3120,3320,2360,1600,1960,3080,5160,8200,10880,13320,18840,19360,20040,20680,20760,22160,19080,18640,15680,12240,11760,8760,6440,4520
2024-02-04,완속,686,490,483,322,217,112,196,329,434,735,1029,1148,1386,1365,1491,1547,1876,2128,2296,2142,2464,1946,1470,1435
2024-02-05,급속,2920,2920,1960,1360,2200,3280,5640,8440,13520,16320,18680,21520,24920,23480,26600,27240,25840,25160,21880,18240,15440,12080,9160,6400
2024-02-05,완속,504,252,231,112,91,147,217,371,623,693,994,882,945,1106,1330,1575,2023,2940,3507,3087,2576,2261,2044,2016
2024-02-06,급속,3960,2920,2080,2360,2800,4520,7320,11080,17880,20160,23360,26200,29160,26960,27960,27560,30000,25400,22680,20120,16520,13040,9880,7080
2024-02-06,완속,616,581,427,189,77,119,168,364,630,952,1008,1197,910,1022,1484,1764,2478,2877,3423,3136,2646,2177,2296,2254
2024-02-07,급속,4640,3520,2840,2480,3280,3600,7440,11120,17280,21200,23360,28360,31160,26400,26680,27880,30640,26800,25200,18920,17040,13800,9760,7160
2024-02-07,완속,700,686,301,196,112,175,217,399,651,826,903,1309,1442,1274,1386,2086,2415,2737,3521,3122,2562,2527,2149,2093
2024-02-08,급속,4200,4280,3240,2880,3200,5080,9240,12800,18880,23160,22880,28440,30160,28160,30000,28760,28280,27040,22880,19640,18240,14120,12480,8880
2024-02-08,완속,931,483,336,189,112,182,189,539,861,1078,1225,1414,1400,1512,1869,2247,2653,3024,3584,3031,2569,2422,2177,1547
2024-02-09,급속,5920,4280,3640,3440,3840,4680,6760,11680,14960,20200,23000,24520,24000,23880,26480,24120,22160,21960,16560,15760,12840,10920,7080,4800
2024-02-09,완속,924,917,392,315,266,175,252,420,714,1078,1050,1449,1533,1442,1582,1456,1862,2212,2555,2002,2086,2023,1974,1617
2024-02-10,급속,3160,2680,2160,2080,2520,3320,5320,8800,11960,13680,18600,20840,21960,21960,22920,22240,22320,18760,15920,12320,11000,10680,7560,4720
2024-02-10,완속,567,378,238,147,161,105,168,448,700,910,1064,1232,1386,1386,1477,1645,1659,2142,2212,1890,2023,2023,1687,1645
2024-02-11,급속,3280,2440,2280,2560,2120,2560,4360,7960,13600,16080,20720,21760,22480,20920,22480,21920,21600,20760,16520,12000,11440,10160,6480,4440
