일자,충전방식,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
2023-01-21,완속,1078,518,504,413,266,287,266,623,931,1547,1428,1547,1645,1736,1827,1960,2289,2653,2695,2527,2520,2408,1890,1470
2023-01-21,급속,7960,7320,6480,6720,6000,6840,8520,13040,18520,25920,29400,31040,31720,31360,32680,32480,31840,27360,20600,20000,17920,15600,11880,8920
2023-01-22,완속,756,518,301,301,140,133,245,448,1092,1176,1225,1610,1848,1715,1855,1813,2380,2499,2212,2128,2296,2212,2163,1442
2023-01-22,급속,4560,4040,3840,3000,3280,4320,7120,8840,12960,16800,22600,24040,27600,24360,27400,27760,27880,24760,18240,14960,13840,12800,8760,7280
2023-01-23,완속,707,448,434,175,210,175,175,301,595,980,1120,1162,1232,1477,1603,1869,2114,2555,2660,2492,2212,2212,1974,1512
2023-01-23,급속,3840,3400,2560,2240,2960,3400,5160,9600,14800,21440,25560,28600,26480,26320,27560,28040,27600,23720,19720,16760,15000,13280,9920,7840
2023-01-24,완속,700,651,525,336,175,182,231,315,567,994,1239,1400,1701,1778,1785,2058,2149,2863,3038,2870,2394,1855,1792,1722
2023-01-24,급속,4520,4120,3320,4320,4160,3360,5800,7640,11840,16280,20680,23600,27360,28240,28440,29480,28080,28000,23000,19760,17120,14560,10840,7800
2023-01-25,완속,623,595,196,140,105,91,189,546,1015,1071,1162,1470,1323,1533,1722,2107,2632,3801,4438,3808,2681,2359,2324,1862
2023-01-25,급속,6440,4640,3240,2680,3000,4920,7120,11520,19280,25160,29040,35080,40920,37880,37280,38080,39920,34000,31120,27480,22160,19080,13960,9600
2023-01-26,완속,574,560,280,182,119,112,273,525,966,1022,1197,1162,1379,987,1596,1939,2387,3178,3913,3052,2975,2317,2247,2212
2023-01-26,급속,6440,4840,3760,3480,3280,4920,7760,11680,19880,24440,27440,31720,32760,32360,33360,32000,34400,30000,26280,24680,18560,14560,11480,8400
2023-01-27,완속,721,693,420,210,126,133,266,504,784,1064,1078,1092,1295,1344,1365,1701,2205,3136,3997,3619,2639,2485,2513,2436
2023-01-27,급속,5640,4240,3440,3200,3520,4440,8160,12000,20080,24760,27640,32080,36520,35000,34520,35680,35960,32600,28120,25640,22040,18960,14200,9960
2023-01-28,완속,1022,546,539,350,210,203,210,497,777,1155,1246,1505,1680,1652,1813,1876,1988,2702,2604,2625,2541,2177,1939,1834
2023-01-28,급속,7440,6520,4960,4600,4640,5400,8000,12600,17760,22720,27920,31960,32240,32080,33840,31520,30440,27280,21640,19440,18080,15320,11280,7880
2023-01-29,완속,889,882,476,280,210,224,196,462,707,1204,1470,1463,1610,1582,2037,2366,2660,2555,2968,2604,2226,2156,2051,1687
2023-01-29,급속,5000,3680,4480,3640,3840,4040,5560,9120,15440,18400,22320,23840,28280,28240,29480,26880,29000,23360,19960,17560,13440,12240,8680,5640
2023-01-30,완속,532,406,364,112,126,154,266,469,875,882,987,1085,1267,1204,1351,1932,2457,3346,3878,3640,2597,2380,1995,1953
2023-01-30,급속,4240,3600,2960,2000,2720,3920,8080,12520,18240,23280,25160,31240,33440,30960,30840,33720,33320,29840,27880,22360,19600,14360,11080,7040
2023-01-31,완속,777,469,462,217,168,119,224,567,679,1008,1169,1260,1246,1239,1351,2093,2471,3080,3752,3486,2751,2275,2247,2156
2023-01-31,급속,4560,4400,3400,2960,4280,5880,8320,11880,18360,24400,26040,30240,31920,31680,31000,30680,30640,29560,25600,22200,16760,14640,10440,7240
2023-02-01,완속,693,574,567,210,154,175,308,392,840,1008,1127,1197,1127,1274,1533,2163,2499,3318,3682,3479,2674,2485,2240,2219
2023-02-01,급속,4400,3720,2760,3160,3760,4720,7480,10000,16720,21520,24800,29200,31520,30920,30520,30600,30640,29400,25120,21600,17960,13840,10600,7200
2023-02-02,완속,910,462,336,336,98,112,217,406,889,966,1176,1141,1351,1274,1484,1946,2625,2884,3948,3479,2786,2723,2338,2303
2023-02-02,급속,5240,4320,4000,2960,3840,4600,8080,12720,20200,21840,25880,30880,33400,33520,31880,34160,30920,30400,27360,23040,18680,14400,11800,8160
2023-02-03,완속,882,525,511,238,91,140,350,581,959,952,1197,1365,1414,1442,1617,2044,2527,3024,3829,3199,2604,2674,2275,2233
2023-02-03,급속,4600,4720,3680,3640,3880,6160,8360,12360,18920,23480,27520,30240,36120,32360,32040,34400,33280,29600,26440,22560,19440,15760,11840,8160
2023-02-04,완속,882,630,525,350,168,231,259,448,868,1036,1106,1211,1414,1757,1505,1750,1778,2422,2828,2471,2331,2191,2065,2051
